CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"66,722","17,367","9,43,892",18.64,4.50,-3.40,"1,365",4.50,4.60,"1,495","24,300.00",65,894.15,899.90,65,72.70,898.00,-,665,-42,"1,293",
,"33,030","12,474","5,01,042",19.08,3.95,-2.95,"31,395",3.80,3.95,"2,600","24,350.00",65,939.00,949.70,65,93.45,940.75,-,103,36,142,
,"77,991","18,335","11,08,578",19.62,3.60,-2.25,650,3.50,3.60,"2,405","24,400.00",65,993.85,"1,000.30",65,79.95,975.80,-,784,-256,"1,417",
,"18,542","1,493","3,15,141",19.88,3.00,-2.10,"1,560",3.05,3.20,"2,145","24,450.00",780,"1,013.75","1,050.75",65,59.35,"1,019.20",-,229,-7,86,
,"1,39,202","14,527","10,87,813",20.41,2.75,-1.65,"1,950",2.75,2.90,"2,210","24,500.00",65,"1,091.90","1,098.25",65,78.15,"1,095.65",-,"2,713",-597,"4,614",
,"32,189","13,964","2,25,569",21.06,2.65,-1.25,"1,300",2.60,2.65,"6,500","24,550.00",780,"1,101.65","1,181.75",780,60.25,"1,138.95",-,18,8,33,
,"65,127","15,430","5,63,665",21.35,2.25,-1.20,780,2.15,2.25,"3,185","24,600.00",65,"1,183.25","1,199.00",65,72.65,"1,197.80",-,81,15,285,
,"24,291","15,478","1,77,058",21.89,2.10,-0.90,65,2.00,2.10,"1,430","24,650.00",390,"1,191.05","1,289.00",390,-,"1,216.30",26.80,-,-,67,
,"73,676","19,633","4,78,341",22.18,1.80,-0.70,"2,080",1.80,1.90,"1,755","24,700.00",65,"1,286.05","1,301.65",130,30.20,"1,279.25",-,19,-2,101,
,"22,382","8,252","1,48,800",22.39,1.50,-0.70,195,1.65,1.70,"3,120","24,750.00",65,"1,279.05","1,391.35",390,191.90,"1,331.90",-,1,-,3,
,"88,753","22,145","4,61,703",23.00,1.45,-0.45,"2,795",1.45,1.50,65,"24,800.00",520,"1,384.60","1,398.95",65,74.70,"1,381.65",-,26,-6,807,
,"18,585","7,898","92,090",23.59,1.40,-0.35,"1,755",1.30,1.45,"1,430","24,850.00",65,"1,378.75","1,489.15",390,-41.95,"1,330.25",-,27,26,32,
,"41,798",-38,"2,16,045",23.96,1.25,-0.35,260,1.25,1.35,"3,315","24,900.00",130,"1,462.80","1,540.65",780,43.75,"1,480.35",-,37,18,296,
,"15,257",318,"80,986",24.64,1.25,-0.30,260,1.25,1.35,65,"24,950.00","1,690","1,317.15","1,666.50","1,690",-,"1,552.65",44.33,-,-,11,
,"1,70,059","36,197","5,32,490",25.31,1.25,-0.25,"1,105",1.25,1.30,"4,485","25,000.00",65,"1,587.65","1,597.70",260,75.40,"1,592.15",-,"1,024",-364,"3,716",
,"12,519","1,409","51,088",25.86,1.20,-0.10,"2,210",1.10,1.30,"1,885","25,050.00",780,"1,589.15","1,690.60",390,-,"1,776.40",61.37,-,-,18,
,"27,623","4,764","1,07,989",26.14,1.05,-0.25,"1,040",1.05,1.15,"3,510","25,100.00",65,"1,680.50","1,701.05",65,23.70,"1,665.40",-,11,-2,10,
,"9,556","3,286","48,009",26.65,1.00,-0.20,715,0.95,1.05,"1,755","25,150.00","1,690","1,465.80","1,866.10","1,690",-,"1,981.25",77.07,-,-,8,
,"42,412","7,457","1,41,329",27.58,1.10,-0.05,585,0.95,1.10,"1,20,705","25,200.00",65,"1,781.05","1,801.00",65,-133.00,"1,783.75",-,3,-,137,
,"11,510","4,865","44,863",27.79,0.95,-0.10,"5,005",0.90,0.95,260,"25,250.00","1,690","1,642.95","1,886.65",780,-73.15,"1,836.85",-,5,-,5,
,"39,917","16,533","1,06,554",28.10,0.85,-0.15,"3,185",0.85,0.95,"5,005","25,300.00",780,"1,838.15","1,937.30",780,-,"1,989.65",61.59,-,-,4,
,"13,202","9,180","47,477",28.91,0.90,-0.15,130,0.90,1.00,"1,08,550","25,350.00","1,690","1,640.90","2,035.00","1,690",-,"2,067.00",66.77,-,-,8,
,"20,856","11,127","76,897",29.18,0.80,-0.15,"60,775",0.80,0.85,780,"25,400.00",65,"1,936.90","1,998.30",195,40.00,"1,920.00",-,2,-1,41,
,"7,186","4,611","34,333",29.99,0.85,-0.10,"13,065",0.85,0.90,"5,850","25,450.00",390,"1,987.70","2,139.70","1,690",-,"1,900.00",-,-,-,2,
,"85,102","15,799","1,93,498",30.23,0.75,-0.15,"5,15,190",0.75,0.80,"68,185","25,500.00",65,"2,082.00","2,100.50",65,80.10,"2,080.10",-,83,-71,956,
,"5,377","1,761","24,632",30.84,0.75,-0.20,"38,870",0.75,0.80,"10,530","25,550.00","2,470","1,917.45","2,260.00","2,470",-,"2,220.00",63.56,-,-,16,
,"12,007","2,923","47,987",31.24,0.70,-0.20,"25,025",0.70,0.80,"3,380","25,600.00",65,"2,179.80","2,200.75",65,7.15,"2,128.15",-,29,-1,32,
,"1,661",501,"13,668",31.84,0.70,-0.15,"2,990",0.70,0.80,650,"25,650.00","1,170","2,176.65","2,294.70",780,-,"2,320.00",65.55,-,-,12,
,"6,960","2,002","20,328",32.21,0.65,-0.10,"6,110",0.65,0.70,"17,355","25,700.00",390,"2,239.80","2,339.00",780,122.70,"2,272.70",-,1,1,2,
,"1,374",456,"9,738",32.81,0.65,-0.10,"6,045",0.60,0.65,975,"25,750.00","1,690","2,011.80","2,454.60",780,-,"2,527.65",84.10,-,-,1,
,"6,413",765,"21,352",33.41,0.65,-0.05,"80,535",0.55,0.60,"1,755","25,800.00",65,"2,376.00","2,397.50",65,136.65,"2,379.20",-,5,-,8,
,"1,580",514,"17,464",34.00,0.65,-0.10,"13,910",0.60,0.70,"1,950","25,850.00",780,"2,386.30","2,497.45",780,-,"2,510.00",72.62,-,-,5,
,"3,162",438,"21,406",34.33,0.60,-0.10,"1,105",0.60,0.65,"6,760","25,900.00","1,690","2,280.20","2,590.10","1,690",230.00,"2,520.00",51.49,4,-4,1,
,"1,168",130,"8,332",34.63,0.55,-0.15,"7,280",0.55,0.65,650,"25,950.00",780,"2,488.05","2,587.10",780,-,-,-,-,-,-,
,"40,524","2,789","1,05,973",35.21,0.55,-0.10,"29,705",0.55,0.60,"3,770","26,000.00",520,"2,578.65","2,599.50",65,59.30,"2,571.00",-,202,-161,859,
,"2,030",547,"8,395",35.79,0.55,-0.10,"26,715",0.50,0.60,"8,970","26,050.00",780,"2,396.50","2,684.40",780,-,-,84.50,-,-,-,
,"23,246","2,637","1,05,231",35.71,0.45,-0.15,"3,77,260",0.45,0.50,"5,005","26,100.00",130,"2,635.60","2,734.55",390,175.00,"2,655.00",-,3,3,34,
